Block_Group,Median_Gross_Rent,Year,Population_Size,Median_Age,Median_Household_Income,Labor_Force_Participation_Rate,Degree_Attainment,Degree_Attainment_Rate,Public_Assistance_Rate
"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",1172,2013,1901,31,55655,0.742601514,82,0.043135192,0
"Block Group 2, Census Tract 501.01, Suffolk County, Massachusetts",621,2013,2080,35.1,20771,0.516267649,123,0.059134615,0.132208158
"Block Group 3, Census Tract 501.01, Suffolk County, Massachusetts",1246,2013,1927,31,68563,0.777850163,364,0.188894655,0.021702838
"Block Group 1, Census Tract 502, Suffolk County, Massachusetts",1114,2013,2231,32.5,41304,0.815774324,269,0.120573734,0.032808399
"Block Group 2, Census Tract 502, Suffolk County, Massachusetts",882,2013,1165,43.7,43992,0.712368169,191,0.163948498,0.01734104
"Block Group 3, Census Tract 502, Suffolk County, Massachusetts",1585,2013,477,33.2,72566,0.648106904,144,0.301886792,0
"Block Group 4, Census Tract 502, Suffolk County, Massachusetts",1108,2013,1577,30.3,56295,0.806008584,16,0.010145847,0
"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",1238,2013,438,29.9,34205,0.796992481,103,0.235159817,0.041450777
"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",356,2013,1759,34.1,12390,0.393617021,115,0.065378056,0.161104718
"Block Group 1, Census Tract 504, Suffolk County, Massachusetts",1297,2013,822,32.1,60917,0.878284924,113,0.137469586,0
"Block Group 2, Census Tract 504, Suffolk County, Massachusetts",1078,2013,1499,36.3,52153,0.772693727,304,0.202801868,0.053545586
"Block Group 1, Census Tract 506, Suffolk County, Massachusetts",1056,2013,1756,30.3,36490,0.81300813,38,0.021640091,0.021782178
"Block Group 2, Census Tract 506, Suffolk County, Massachusetts",1136,2013,702,39.4,58750,0.943877551,70,0.0997151,0.08627451
"Block Group 1, Census Tract 507, Suffolk County, Massachusetts",1327,2013,2404,33.9,56848,0.868336887,425,0.176788686,0.056372549
"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",1199,2013,1121,30.2,72431,0.84537246,76,0.06779661,0
"Block Group 3, Census Tract 507, Suffolk County, Massachusetts",1149,2013,1299,38,49444,0.784774436,94,0.072363356,0
"Block Group 1, Census Tract 509.01, Suffolk County, Massachusetts",1269,2013,1801,31.9,63603,0.914798206,114,0.063298168,0
